City,State,Shape,Duration.in.seconds,Description,Date,Longitude,Latitute,Duration
San Marcos,TX,Cylinder,2700,This Event Took Place In Early Fall Around 1949-50. It Occurred After A Boy Scout Meeting In The Baptist Church. The Baptist Church Sit,4/27/2004,29.8830556,-97.9411111,2700
Edna,TX,Circle,20,My Older Brother And Twin Sister Were Leaving The Only Edna Theater At About 9 Pm...We Had Our Bikes And I Took A Different Route Home,1/17/2004,28.9783333,-96.6458333,20
Kaneohe,HI,Light,900,As A Marine 1St Lt. Flying An Fj4b Fighter/Attack Aircraft On A Solo Night Exercise I Was At 50000 In A Clean Aircraft (No Ordinan,1/22/2004,21.4180556,-157.8036111,900
Bristol,TN,Sphere,300,My Father Is Now 89 My Brother 52 The Girl With Us Now 51 Myself 49 And The Other Fellow Which Worked With My Father If Hes Still Livi,4/27/2007,36.595,-82.1888889,300
Norwalk,CT,Disk,1200,A Bright Orange Color Changing To Reddish Color Disk/Saucer Was Observed Hovering Above Power Transmission Lines.,10/2/1999,41.1175,-73.4083333,1200
Pell City,AL,Disk,180,Strobe Lighted Disk Shape Object Observed Close At Low Speeds And Low Altitude In Oct 1966 In Pell City Alabama,3/19/2009,33.5861111,-86.2861111,180
Live Oak,FL,Disk,120,Saucer Zaps Energy From Powerline As My Pregnant Mother Receives Mental Signals Not To Pass Info,5/11/2005,30.2947222,-82.9841667,120
Hawthorne,CA,Circle,300,Round  Orange  With What I Would Say Was Polished Metal Of Some Kind Around The Edges .,10/31/2003,33.9163889,-118.3516667,300
Brevard,NC,Fireball,180,Silent Red /Orange Mass Of Energy Floated By Three Of Us In Western North Carolina In The 60S,6/12/2008,35.2333333,-82.7344444,180
Bellmore,NY,Disk,1800,Silver Disc Seen By Family And Neighbors,5/11/2000,40.6686111,-73.5275,1800
Manchester,KY,Unknown,180,Slow Moving Silent Craft Accelerated At An Unbelievable Angle And Speed.,2/14/2008,37.1536111,-83.7619444,180
Lexington,NC,Oval,30,Green Oval Shaped Light Over My Local Churchpower Lines Down..,2/14/2010,35.8238889,-80.2536111,30
Harlan County,KY,Circle,1200,On October 10 1972 Myselfmy 5Yrs.daughter2 Neices And 2 Nephews Were Playing Tag In The Back Yard .When We Looked Over On The Ridge,9/15/2005,36.8430556,-83.3219444,1200
West Bloomfield,MI,Disk,120,The Ufo Was So Close My Battery In The Car Went To Zero Amps Stalling The Engine Turning Off My Lights And Radio.,8/14/2007,42.5377778,-83.2330556,120
Niantic,CT,Disk,1800,Oh What A Night   Two (2) Saucer-Shaped Glowing Green Objects And One (1) Brilliantly Glowing Sphere Gliding Over The Lake.,9/24/2003,41.3252778,-72.1936111,1800
Hudson,MA,Other,2700,Not Sure Of The Eact Month Or Year Of This Sighting But It Was In The Fall Of 74 Or 75. Was Walking Home Around Dusk And Saw A Bright L,8/10/1999,42.3916667,-71.5666667,2700
Hudson,KS,Light,1200,The Light Chased Us.,7/25/2004,38.1055556,-98.6597222,1200
North Charleston,SC,Light,360,Several Flashing Ufo Lights Over Charleston Naval Base In S.c.,2/14/2008,32.8544444,-79.975,360
Washougal,WA,Oval,60,Three Extremely Large Lights Hanging Above Nearby Trees.,2/7/2014,45.5827778,-122.3522222,60
San Antonio,TX,Other,30,I Was About Six Or Seven And My Family And Me Were Sitting Next To A Window At Home Eating When A Type Of Dark Ball Hit The Screen Wind,2/24/2005,29.4238889,-98.4933333,30
Louisville,KY,Light,30,Hbccufo Canadian Report:  Pilot Sighting Of Unusual Light.,3/17/2004,38.2541667,-85.7594444,30
Elmont,NY,Rectangle,300,A Memory I Will Never Forget That Happened Meny Years Ago.,2/1/2007,40.7008333,-73.7133333,300
Poughkeepsie,NY,Chevron,900,1/4 Moon-Like  Its Chord Or Flat Side Parallel To Horizon  Bright Orange-Red Glow  Completely Silent No Features.,4/16/2005,41.7002778,-73.9213889,900
San Diego,CA,Oval,180,My 2Nd Ufo Sighting October 1979,8/5/2001,32.7152778,-117.1563889,180
Security,CO,Unknown,1800,Very Low Clouds All Different Colorssearch Lights Were Seen Shining Down Out Of The Clouds On The Houses And Streets. This Event Was S,1/28/1999,38.7583333,-104.7425,1800
Houston,TX,Sphere,180,Sphere No Lights  Moving Through Neighborhoods Above Tree Tops Over Busy Streets In Houston In 1980.,4/16/2005,29.7630556,-95.3630556,180
Dallas,TX,Unknown,300,Strange Shape Shifting Craft Of Pure Light Energy.,10/28/2002,32.7833333,-96.8,300
Manchester,NH,Light,300,A Red Glowing Sphere Stopped And Watched Me.,11/21/2010,42.9955556,-71.4552778,300
Houston,TX,Circle,60,2 Experience With Unkown,4/18/2012,29.7630556,-95.3630556,60
Traverse City,MI,Other,120,Translucent Football Seen Over City Airport,10/7/2003,44.7630556,-85.6205556,120
White Plains,NY,Formation,20,Saw A Hugh Object In Sky With Lights Intermittently Placed Not Making Any Noise Traveling North In The Night Sky.it Had No Real Identif,8/10/1999,41.0338889,-73.7633333,20
Milwaukee,WI,Triangle,600,A Silent Black Triangular Object With No Lights Moved Over Us As We Walked Our Dog Across A School Playground.,8/7/2007,43.0388889,-87.9063889,600
New Gloucester,ME,Unknown,120,Im Still Afraid To Look At The Sky At Night.,1/10/2009,43.9627778,-70.2830556,120
Boulder,CO,Light,60,Three Stars Begin To Move Randomly Stop Change Direction Move Again And Then Vanish,7/16/2006,40.015,-105.27,60
Seattle (Ballard Area),WA,Unknown,2,Two Adult Witnesses Are Stunned By The Sound Of An Object That Streaks Above The Home They Are In.,4/27/2004,47.6063889,-122.3308333,2
Calabasas,CA,Disk,300,Unidentified Object On Mulholland Highway.,12/14/2004,34.1577778,-118.6375,300
Centralia,WA,Triangle,60,A Huge Triangularly Shaped Silent Object That Blotted Out 25 Degrees Of The Sky Lighted By Four Glowing Points.,4/27/2004,46.7163889,-122.9530556,60
Ashburn,GA,Triangle,120,Translucent Craft That Makes No Sound While Moving,10/8/2007,31.7058333,-83.6533333,120
Frisco,NC,Unknown,1800,A Friend And Myself Were Standing On The Shore Of The Pamlico Sound As We Observed 4 Objects Moving In Up And Down Motions For About 30,1/28/1999,35.235,-75.6288889,1800
Harrisburg,PA,Triangle,600,We Observed 3 Triangular Shaped High Speed Objects,5/9/2003,40.2736111,-76.8847222,600
